name,startDate,endDate,city,state,image,icon,website
WildHacks,2017-11-03,2017-11-05,Evanston,IL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/765/thumb/wildhacks_splash.jpg?1505924938,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/765/thumb/wildhacks_logo.png?1505924937,https://wildhacks.org/
CodeRED Exploration,2017-11-04,2017-11-05,Houston,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/786/thumb/codered-cover-mlh.jpg?1507924390,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/786/thumb/codered-icon-mlh.png?1507924389,https://uhcode.red/
Hack AE,2017-11-04,2017-11-05,Lowell,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/766/thumb/Hack_AE_Splash_Logo.jpg?1505925648,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/766/thumb/Hack_AE_Small_Logo.jpg?1505925648,http://theaeac.org/events/hackae/
HackPSU,2017-11-04,2017-11-05,State College,PA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/789/thumb/Hackpsu100x100.jpg?1507924880,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/789/thumb/Hackpsu100x100.jpg?1507924880,https://hackpsu.org/
HealthHacks,2017-11-04,2017-11-05,Richmond,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/719/thumb/healthhacks_tile.jpg?1507560220,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/719/thumb/HealthHacks_Logo.jpg?1502215592,http://healthhacks.vcu.edu/
Huskie Hack for Health & Wellness,2017-11-04,2017-11-05,Chicago,IL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/712/thumb/backblack_paw.jpg?1501786014,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/712/thumb/Huskieblack_paw.png?1501786013,http://www.huskiehack.org/
Technica,2017-11-04,2017-11-05,College Park,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/782/thumb/technicalogo.jpg?1507843406,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/782/thumb/technicasplash.png?1507843405,http://gotechnica.org/
UB Hacking,2017-11-04,2017-11-05,Buffalo,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/752/thumb/Davis_Hall_UB.png?1505159065,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/752/thumb/UB_Hacking_Logo_100x100.png?1505159065,https://ubhacking.com/
HackPrinceton,2017-11-10,2017-11-12,Princeton,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/756/thumb/princetonsplash.png?1505517288,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/756/thumb/princetonlogo.png?1505517288,https://hackprinceton.com/
NS Hackathon,2017-11-10,2017-11-11,The Bronx,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/729/thumb/2004_lhc_lehmancampus_56.jpg?1503422194,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/729/thumb/nshackathon_logo.png?1503422193,https://nshacks.nslehman.com/index.html
WHACK,2017-11-10,2017-11-12,Wellesley,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/724/thumb/background.png?1502734506,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/724/thumb/logo.png?1502812428,http://wellesleyhacks.org/
HackHolyoke,2017-11-11,2017-11-12,South Hadley,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/764/thumb/holyoke_splash.jpg?1505924780,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/764/thumb/holyoke_logo.png?1505924776,http://hackholyoke.com/
Hackital,2017-11-11,2017-11-12,Washington,DC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/701/thumb/jefferson300.png?1503930608,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/701/thumb/100x100.png?1503930608,http://hackital.io/
Hack NJIT,2017-11-11,2017-11-12,Newark,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/721/thumb/hacknjit_splash.jpg?1502387810,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/721/thumb/hacknjit_logo.jpeg?1502387809,http://hacknjit.org/
HackRiddle,2017-11-11,2017-11-12,Daytona Beach,FL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/685/thumb/hackriddle_splash.png?1500043154,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/685/thumb/hackriddle_logo.png?1500043154,https://hackriddle.com/
HackRPI,2017-11-11,2017-11-12,Troy,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/767/thumb/hackrpi_splash.png?1505930937,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/767/thumb/hackrpi_logo.png?1505930937,https://hackrpi.com/
